age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
37,blue-collar,married,secondary,no,342,yes,no,cellular,12,340,2,175,1,failure,no
53,technician,divorced,secondary,no,392,yes,no,cellular,28,70,1,245,1,failure,no
59,unknown,married,unknown,no,3940,no,no,unknown,5,48,2,-1,0,unknown,no
31,blue-collar,single,secondary,no,334,yes,yes,unknown,2,425,2,-1,0,unknown,no
74,retired,married,tertiary,no,1843,no,no,cellular,15,192,1,185,2,success,yes
55,technician,married,tertiary,no,639,yes,no,telephone,13,992,5,370,3,other,no
52,admin.,divorced,secondary,no,340,yes,no,cellular,17,463,1,344,1,failure,no
56,technician,married,secondary,no,170,yes,no,cellular,5,200,2,294,4,other,no
39,technician,married,tertiary,no,3911,yes,no,cellular,18,247,2,-1,0,unknown,no
42,technician,married,secondary,no,370,no,no,unknown,19,302,5,-1,0,unknown,no
34,technician,married,tertiary,no,0,yes,no,cellular,25,52,3,-1,0,unknown,no
42,retired,married,primary,no,127,no,yes,cellular,17,199,2,-1,0,unknown,no
32,self-employed,married,secondary,no,409,no,no,cellular,3,115,2,86,2,success,yes
36,management,married,tertiary,no,1352,no,no,unknown,19,2028,1,-1,0,unknown,yes
36,management,single,tertiary,no,811,no,no,cellular,6,229,1,-1,0,unknown,yes
35,management,married,tertiary,no,76,no,no,cellular,5,283,1,362,9,failure,no
36,management,married,tertiary,no,1318,yes,no,cellular,7,100,2,-1,0,unknown,no
58,services,married,secondary,no,818,no,no,cellular,22,283,1,-1,0,unknown,no
30,admin.,single,secondary,no,313,yes,no,cellular,4,1121,2,-1,0,unknown,yes
51,services,married,secondary,no,-437,no,yes,cellular,30,130,3,-1,0,unknown,no
57,retired,single,tertiary,no,842,no,no,cellular,13,284,3,-1,0,unknown,yes
26,student,single,secondary,no,279,no,no,cellular,7,239,3,-1,0,unknown,no
59,retired,married,unknown,no,613,no,no,cellular,19,75,2,-1,0,unknown,no
33,services,married,secondary,no,-49,yes,no,unknown,29,89,2,-1,0,unknown,no
43,services,married,secondary,no,508,yes,no,cellular,18,200,1,172,1,failure,no
30,technician,married,secondary,no,854,yes,no,unknown,2,163,2,-1,0,unknown,no
33,management,married,tertiary,no,0,yes,no,unknown,2,223,1,-1,0,unknown,no
67,management,married,tertiary,no,405,no,no,cellular,7,345,2,-1,0,unknown,yes
34,management,single,tertiary,no,4687,no,no,cellular,26,10,19,-1,0,unknown,no
46,services,married,secondary,no,9077,yes,no,cellular,17,427,2,337,1,failure,no
45,admin.,married,secondary,no,373,no,yes,cellular,18,274,3,-1,0,unknown,no
37,unemployed,single,tertiary,no,1316,yes,no,cellular,18,389,1,172,2,failure,no
44,unemployed,married,tertiary,no,1151,yes,no,unknown,5,127,2,-1,0,unknown,no
25,student,single,tertiary,no,5,no,no,cellular,29,138,1,-1,0,unknown,no
53,admin.,married,secondary,no,1661,yes,yes,cellular,17,85,1,-1,0,unknown,no
48,management,single,tertiary,no,159,no,no,telephone,7,229,1,251,6,success,yes
28,services,single,secondary,no,2921,yes,no,unknown,28,136,1,-1,0,unknown,no
38,management,married,tertiary,no,0,yes,no,telephone,12,136,1,-1,0,unknown,no
41,admin.,married,secondary,no,14968,no,no,cellular,23,1360,4,-1,0,unknown,yes
34,blue-collar,single,secondary,no,0,yes,no,cellular,10,307,1,-1,0,unknown,no
31,blue-collar,married,primary,no,2198,no,no,cellular,21,423,2,172,2,failure,no
29,blue-collar,married,primary,no,0,yes,no,telephone,7,256,15,-1,0,unknown,no
49,technician,married,secondary,no,2400,no,no,cellular,21,262,3,-1,0,unknown,no
36,blue-collar,married,secondary,no,0,yes,yes,cellular,20,240,1,326,1,success,no
49,entrepreneur,married,tertiary,no,313,yes,no,cellular,17,42,2,188,2,failure,no
47,housemaid,married,primary,no,823,no,no,unknown,19,191,3,-1,0,unknown,no
60,housemaid,divorced,primary,no,1190,no,no,unknown,9,166,1,-1,0,unknown,no
46,management,married,tertiary,no,5464,no,no,unknown,20,79,4,-1,0,unknown,no
32,admin.,married,tertiary,no,118,no,no,cellular,21,383,4,176,10,failure,no
37,blue-collar,single,secondary,no,133,yes,no,cellular,11,1388,2,-1,0,unknown,yes
47,admin.,married,secondary,no,6695,no,no,telephone,21,129,3,-1,0,unknown,no
35,admin.,divorced,secondary,no,45,yes,no,unknown,29,167,1,-1,0,unknown,no
51,technician,divorced,tertiary,no,4596,no,no,cellular,8,334,5,-1,0,unknown,no
54,management,married,tertiary,no,1303,no,no,cellular,3,1635,1,-1,0,unknown,yes
60,housemaid,married,unknown,no,491,no,no,cellular,14,503,4,-1,0,unknown,no
45,management,married,tertiary,no,4119,yes,yes,telephone,31,473,2,283,1,success,yes
44,technician,married,tertiary,no,1146,no,no,cellular,4,178,2,-1,0,unknown,no
29,technician,married,tertiary,no,858,yes,no,cellular,12,234,7,330,1,failure,no
34,services,married,secondary,no,1337,no,no,cellular,12,255,2,104,1,success,yes
46,management,married,secondary,no,1114,no,no,cellular,31,87,8,-1,0,unknown,no
